zipcode,num_households,agi_1_per,agi_2_per,agi_3_per,agi_4_per,agi_5_per,agi_6_per,mean_agi,state_avg_home_price,Real_estate_tax_rate,population,density,State
44676,2290,0.366812227,0.310043668,0.170305677,0.07860262,0.065502183,0.008733624,2.192139738,145700,1.56,4402,34.4,OH
44677,1410,0.368794326,0.276595745,0.163120567,0.09929078,0.078014184,0.014184397,2.283687943,145700,1.56,2463,59.6,OH
44680,2110,0.331753555,0.265402844,0.180094787,0.104265403,0.104265403,0.014218009,2.426540284,145700,1.56,4455,88.4,OH
44681,3680,0.323369565,0.347826087,0.171195652,0.073369565,0.057065217,0.027173913,2.274456522,145700,1.56,7987,50.7,OH
44683,3560,0.45505618,0.280898876,0.140449438,0.073033708,0.050561798,0,1.983146067,145700,1.56,8552,48.2,OH
44685,13830,0.305133767,0.193781634,0.157628344,0.120751988,0.180043384,0.042660882,2.804772234,145700,1.56,27842,415,OH
44688,1400,0.407142857,0.285714286,0.15,0.085714286,0.071428571,0,2.128571429,145700,1.56,2816,51.3,OH
44689,310,0.387096774,0.35483871,0.161290323,0.096774194,0,0,1.967741935,145700,1.56,786,67.3,OH
44691,20560,0.355058366,0.274805447,0.152723735,0.092898833,0.097762646,0.026750973,2.383754864,145700,1.56,45048,107.7,OH
44695,540,0.351851852,0.259259259,0.166666667,0.111111111,0.111111111,0,2.37037037,145700,1.56,1578,20.6,OH
44699,400,0.3,0.3,0.2,0.1,0.1,0,2.4,145700,1.56,811,6.6,OH
44702,250,0.6,0.16,0.12,0,0.12,0,1.88,145700,1.56,948,758.5,OH
44703,3430,0.597667638,0.262390671,0.087463557,0.034985423,0.017492711,0,1.612244898,145700,1.56,8081,3133.9,OH
44704,1580,0.632911392,0.253164557,0.069620253,0.03164557,0.012658228,0,1.537974684,145700,1.56,3490,607.8,OH
44705,7750,0.558709677,0.267096774,0.092903226,0.041290323,0.03483871,0.00516129,1.741935484,145700,1.56,19451,883.7,OH
44706,8260,0.449152542,0.285714286,0.134382567,0.076271186,0.050847458,0.003631961,2.004842615,145700,1.56,17413,379.2,OH
44707,3860,0.57253886,0.243523316,0.101036269,0.046632124,0.03626943,0,1.730569948,145700,1.56,8802,247.4,OH
44708,13060,0.385145482,0.275650842,0.15007657,0.08575804,0.081163859,0.022205207,2.268759571,145700,1.56,25541,947.7,OH
44709,9230,0.393282774,0.286023835,0.143011918,0.083423619,0.073672806,0.020585049,2.219934995,145700,1.56,19217,1268,OH
44710,4150,0.491566265,0.306024096,0.122891566,0.053012048,0.026506024,0,1.81686747,145700,1.56,9557,1592,OH
44714,4350,0.436781609,0.275862069,0.149425287,0.068965517,0.057471264,0.011494253,2.068965517,145700,1.56,8442,1331.2,OH
44718,6730,0.315007429,0.202080238,0.133729569,0.095096582,0.151560178,0.102526003,2.873699851,145700,1.56,11895,561,OH
44720,20480,0.313964844,0.230957031,0.165039063,0.107421875,0.140625,0.041992188,2.655761719,145700,1.56,38080,442.3,OH
44721,6890,0.298984035,0.223512337,0.174165457,0.124818578,0.149492017,0.029027576,2.689404935,145700,1.56,14149,340.5,OH
44730,2950,0.355932203,0.298305085,0.162711864,0.108474576,0.06779661,0.006779661,2.254237288,145700,1.56,5847,63.2,OH
44802,510,0.31372549,0.254901961,0.176470588,0.117647059,0.137254902,0,2.509803922,145700,1.56,951,14,OH
44804,580,0.310344828,0.310344828,0.189655172,0.086206897,0.103448276,0,2.362068966,145700,1.56,940,22.9,OH
44805,14750,0.391186441,0.277288136,0.148474576,0.089491525,0.077966102,0.01559322,2.232542373,145700,1.56,32833,81.5,OH
44807,1150,0.313043478,0.304347826,0.191304348,0.113043478,0.07826087,0,2.339130435,145700,1.56,2120,12.9,OH
44811,6350,0.360629921,0.277165354,0.166929134,0.099212598,0.086614173,0.009448819,2.302362205,145700,1.56,12667,42.3,OH
44813,3680,0.358695652,0.27173913,0.157608696,0.10326087,0.095108696,0.013586957,2.345108696,145700,1.56,9312,43.4,OH
44814,1460,0.356164384,0.239726027,0.164383562,0.116438356,0.123287671,0,2.410958904,145700,1.56,2876,43,OH
44817,670,0.328358209,0.328358209,0.164179104,0.074626866,0.104477612,0,2.298507463,145700,1.56,1506,19,OH
44818,1250,0.336,0.304,0.184,0.096,0.08,0,2.28,145700,1.56,2394,14,OH
44820,8490,0.412249706,0.314487633,0.138987044,0.068315665,0.058892815,0.007067138,2.068315665,145700,1.56,17522,43.6,OH
44822,1510,0.350993377,0.304635762,0.158940397,0.092715232,0.092715232,0,2.271523179,145700,1.56,2749,28.7,OH
44824,2080,0.317307692,0.298076923,0.163461538,0.110576923,0.110576923,0,2.399038462,145700,1.56,3944,63.1,OH
44826,880,0.340909091,0.272727273,0.193181818,0.113636364,0.079545455,0,2.318181818,145700,1.56,1803,24.7,OH
44827,3260,0.40797546,0.303680982,0.153374233,0.076687117,0.049079755,0.009202454,2.082822086,145700,1.56,6980,57.7,OH
44830,8700,0.424137931,0.309195402,0.14137931,0.071264368,0.048275862,0.005747126,2.027586207,145700,1.56,18690,61.5,OH
44833,7770,0.410553411,0.2998713,0.151866152,0.072072072,0.057915058,0.007722008,2.09009009,145700,1.56,16558,72.6,OH
44836,1220,0.319672131,0.327868852,0.163934426,0.106557377,0.081967213,0,2.303278689,145700,1.56,2330,29.2,OH
44837,1850,0.389189189,0.308108108,0.162162162,0.081081081,0.059459459,0,2.113513514,145700,1.56,4408,25.8,OH
44839,6740,0.339762611,0.225519288,0.158753709,0.108308605,0.130563798,0.037091988,2.575667656,145700,1.56,12264,136.8,OH
44840,1370,0.313868613,0.291970803,0.189781022,0.109489051,0.094890511,0,2.379562044,145700,1.56,2594,24.1,OH
44841,390,0.307692308,0.333333333,0.179487179,0.102564103,0.076923077,0,2.307692308,145700,1.56,619,14.4,OH
44842,2710,0.380073801,0.3099631,0.158671587,0.077490775,0.066420664,0.007380074,2.162361624,145700,1.56,5392,29,OH
44843,1280,0.3359375,0.2890625,0.171875,0.109375,0.078125,0.015625,2.3515625,145700,1.56,2126,33.7,OH
44844,390,0.307692308,0.333333333,0.179487179,0.102564103,0.076923077,0,2.307692308,145700,1.56,492,16.7,OH
44846,1750,0.342857143,0.188571429,0.165714286,0.12,0.148571429,0.034285714,2.645714286,145700,1.56,3486,55.5,OH
44847,1840,0.331521739,0.277173913,0.184782609,0.114130435,0.092391304,0,2.358695652,145700,1.56,3344,20.6,OH
44849,1110,0.36036036,0.315315315,0.162162162,0.09009009,0.072072072,0,2.198198198,145700,1.56,2522,17.9,OH
44851,2500,0.368,0.296,0.156,0.096,0.084,0,2.232,145700,1.56,4679,27.6,OH
44853,760,0.355263158,0.289473684,0.144736842,0.105263158,0.105263158,0,2.315789474,145700,1.56,1372,19.7,OH
44854,890,0.370786517,0.280898876,0.168539326,0.08988764,0.08988764,0,2.247191011,145700,1.56,1708,17.4,OH
44855,590,0.355932203,0.271186441,0.169491525,0.118644068,0.084745763,0,2.305084746,145700,1.56,1337,18.2,OH
44857,11680,0.404109589,0.268835616,0.145547945,0.088184932,0.077054795,0.016267123,2.214041096,145700,1.56,23394,110.7,OH
44859,850,0.317647059,0.317647059,0.176470588,0.105882353,0.082352941,0,2.317647059,145700,1.56,2158,22.1,OH
44864,1540,0.350649351,0.292207792,0.175324675,0.097402597,0.084415584,0,2.272727273,145700,1.56,3718,20.9,OH
44865,1470,0.387755102,0.299319728,0.170068027,0.074829932,0.068027211,0,2.136054422,145700,1.56,3208,37.4,OH
44866,870,0.333333333,0.298850575,0.183908046,0.091954023,0.091954023,0,2.310344828,145700,1.56,1994,33.6,OH
44867,1050,0.314285714,0.295238095,0.161904762,0.123809524,0.104761905,0,2.40952381,145700,1.56,2557,14.9,OH
44870,20030,0.460808787,0.267099351,0.120319521,0.070394408,0.066400399,0.014977534,2.059410884,145700,1.56,39597,271.8,OH
44875,6580,0.38449848,0.291793313,0.158054711,0.08662614,0.069908815,0.009118541,2.193009119,145700,1.56,13437,67.5,OH
44878,1260,0.365079365,0.317460317,0.150793651,0.095238095,0.071428571,0,2.19047619,145700,1.56,3118,20.1,OH
44880,1290,0.356589147,0.286821705,0.186046512,0.100775194,0.069767442,0,2.240310078,145700,1.56,2844,35.9,OH
44882,1380,0.326086957,0.304347826,0.188405797,0.101449275,0.079710145,0,2.304347826,145700,1.56,2849,15.3,OH
44883,13560,0.379056047,0.301622419,0.14159292,0.087758112,0.075958702,0.014011799,2.221976401,145700,1.56,28183,68,OH
44887,490,0.346938776,0.285714286,0.183673469,0.102040816,0.081632653,0,2.285714286,145700,1.56,836,13.1,OH
44889,3270,0.339449541,0.247706422,0.183486239,0.113149847,0.100917431,0.01529052,2.434250765,145700,1.56,7071,32.8,OH
44890,5150,0.394174757,0.297087379,0.145631068,0.085436893,0.066019417,0.011650485,2.166990291,145700,1.56,11245,49.2,OH
44902,1830,0.693989071,0.234972678,0.049180328,0.021857923,0,0,1.398907104,145700,1.56,4850,1122.5,OH
44903,11810,0.420829805,0.261642676,0.132938188,0.084674005,0.080440305,0.019475021,2.200677392,145700,1.56,23604,86.5,OH
44904,7000,0.328571429,0.262857143,0.162857143,0.111428571,0.111428571,0.022857143,2.482857143,145700,1.56,13542,104.7,OH
44905,5610,0.443850267,0.324420677,0.13368984,0.064171123,0.033868093,0,1.919786096,145700,1.56,13719,440.6,OH
44906,7930,0.440100883,0.278688525,0.132408575,0.068095839,0.061790668,0.018915511,2.089533417,145700,1.56,16849,311.1,OH
44907,6990,0.442060086,0.290414878,0.135908441,0.067238913,0.052932761,0.011444921,2.032904149,145700,1.56,14885,709.7,OH
45002,6410,0.322932917,0.232449298,0.137285491,0.098283931,0.16224649,0.046801872,2.684867395,145700,1.56,13865,203.4,OH
45003,440,0.409090909,0.295454545,0.159090909,0.068181818,0.068181818,0,2.090909091,145700,1.56,552,25.5,OH
45005,14500,0.364827586,0.269655172,0.162068966,0.1,0.093793103,0.009655172,2.317241379,145700,1.56,31371,321.7,OH
45011,31590,0.370053814,0.215257993,0.12345679,0.095916429,0.159227604,0.036087369,2.567268123,145700,1.56,71451,444,OH
45013,25270,0.360902256,0.266323704,0.155916106,0.096161456,0.102493075,0.018203403,2.3676296,145700,1.56,53933,175.9,OH
45014,23490,0.343124734,0.298424862,0.152830992,0.088974032,0.099191145,0.017454236,2.3550447,145700,1.56,43848,780.7,OH
45015,5450,0.431192661,0.344954128,0.133944954,0.055045872,0.034862385,0,1.917431193,145700,1.56,11714,771.1,OH
45030,9430,0.325556734,0.242841994,0.162248144,0.115588547,0.133616119,0.020148462,2.54931071,145700,1.56,19125,162.3,OH
45033,140,0.5,0.285714286,0.214285714,0,0,0,1.714285714,145700,1.56,249,2076.2,OH
45034,610,0.295081967,0.163934426,0.131147541,0.114754098,0.229508197,0.06557377,3.016393443,145700,1.56,1273,523.3,OH
45036,16870,0.317131002,0.203319502,0.144042679,0.1138115,0.176052164,0.045643154,2.765263782,145700,1.56,38221,178.1,OH
45039,12540,0.247208931,0.185007974,0.161881978,0.129984051,0.21291866,0.062998405,3.06539075,145700,1.56,25142,553.8,OH
45040,25930,0.280370228,0.148476668,0.123409179,0.104897802,0.224450444,0.118395681,3.199768608,145700,1.56,54507,696.2,OH
45042,12770,0.375880971,0.26468285,0.154267815,0.094753328,0.094753328,0.015661707,2.314800313,145700,1.56,26638,207.1,OH
45044,23510,0.410463632,0.228838792,0.119948958,0.082518077,0.123351765,0.034878775,2.384091876,145700,1.56,54680,537,OH
45050,5200,0.273076923,0.226923077,0.180769231,0.144230769,0.159615385,0.015384615,2.736538462,145700,1.56,8773,443.4,OH
45052,2170,0.299539171,0.188940092,0.142857143,0.115207373,0.184331797,0.069124424,2.903225806,145700,1.56,3667,117.7,OH
45053,1630,0.27607362,0.220858896,0.17791411,0.122699387,0.171779141,0.030674847,2.785276074,145700,1.56,3690,48.7,OH
45054,1130,0.283185841,0.194690265,0.17699115,0.123893805,0.17699115,0.044247788,2.849557522,145700,1.56,2926,30.9,OH
45056,7410,0.363022942,0.213225371,0.149797571,0.091767881,0.143049933,0.039136302,2.556005398,145700,1.56,27957,137.4,OH
45064,1370,0.335766423,0.240875912,0.189781022,0.124087591,0.109489051,0,2.430656934,145700,1.56,3060,34.9,OH
45065,2460,0.349593496,0.24796748,0.12195122,0.081300813,0.138211382,0.06097561,2.593495935,145700,1.56,4765,652.5,OH
45066,11930,0.264878458,0.135792121,0.13830679,0.120704107,0.242246438,0.098072087,3.233864208,145700,1.56,24836,445.1,OH
45067,6700,0.32238806,0.288059701,0.182089552,0.113432836,0.088059701,0.005970149,2.374626866,145700,1.56,14970,269.8,OH
45068,5520,0.309782609,0.190217391,0.141304348,0.110507246,0.179347826,0.06884058,2.865942029,145700,1.56,11402,61.2,OH
45069,25420,0.284028324,0.180173092,0.136113297,0.110936271,0.214004721,0.074744296,3.014948859,145700,1.56,51117,666.2,OH
45101,920,0.445652174,0.25,0.119565217,0.076086957,0.108695652,0,2.152173913,145700,1.56,2287,51.1,OH
45102,10930,0.357731016,0.250686185,0.158279963,0.107044831,0.116193962,0.010064044,2.40347667,145700,1.56,22397,397.5,OH
45103,15870,0.337114052,0.25078765,0.156899811,0.106490233,0.127284184,0.021424071,2.50031506,145700,1.56,32525,140.8,OH
45106,5440,0.373161765,0.275735294,0.154411765,0.095588235,0.090073529,0.011029412,2.286764706,145700,1.56,12382,63.6,OH
45107,4450,0.352808989,0.287640449,0.168539326,0.094382022,0.085393258,0.011235955,2.305617978,145700,1.56,9909,47.2,OH
45111,220,0.318181818,0.272727273,0.272727273,0,0.136363636,0,2.363636364,145700,1.56,324,190.2,OH
45113,1990,0.336683417,0.231155779,0.145728643,0.110552764,0.140703518,0.035175879,2.592964824,145700,1.56,3610,39.5,OH
45118,1740,0.333333333,0.287356322,0.16091954,0.114942529,0.103448276,0,2.367816092,145700,1.56,3579,35.5,OH
45120,1440,0.395833333,0.263888889,0.152777778,0.097222222,0.090277778,0,2.222222222,145700,1.56,2750,34.5,OH
45121,3740,0.390374332,0.286096257,0.147058824,0.080213904,0.082887701,0.013368984,2.219251337,145700,1.56,9245,33.6,OH
45122,5050,0.382178218,0.257425743,0.156435644,0.097029703,0.093069307,0.013861386,2.302970297,145700,1.56,10511,96.5,OH
45123,3560,0.429775281,0.29494382,0.134831461,0.075842697,0.058988764,0.005617978,2.056179775,145700,1.56,8736,34,OH
45130,1580,0.367088608,0.297468354,0.170886076,0.082278481,0.082278481,0,2.215189873,145700,1.56,4028,40.2,OH
45133,9860,0.426977688,0.283975659,0.144016227,0.073022312,0.062880325,0.009127789,2.088235294,145700,1.56,23764,28.9,OH
